Id,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,RainToday,RISK_MM,RainTomorrow
W0094,14.9,28.8,0,5.8,8.1,NNE,30,No,0,No
W0095,17.1,29.6,0,5.8,9.2,E,48,No,1.8,Yes
W0096,18.2,22.6,1.8,8,0,ENE,33,Yes,9,Yes
W0097,16.8,22.8,9,2.8,0.3,ESE,30,Yes,1,No
W0098,13.6,27.4,1,2.8,8,W,52,No,0,No
W0099,14.5,24.2,0,6.8,5.9,SSW,61,No,16.2,Yes
W0100,12.4,19.9,16.2,5.4,5.6,ENE,41,Yes,0,No
W0101,10.4,20.9,0,4,8.9,SSE,33,No,0,No
W0102,9.1,23.1,0,5.8,9.6,ENE,41,No,0,No
W0103,8.9,26,0,5,10.7,NE,31,No,4.4,Yes
W0104,14.5,24.2,4.4,6.6,5.9,W,48,Yes,11,Yes
W0105,12.6,18.2,11,3.2,0.4,ENE,30,Yes,0.2,No
W0106,8.6,24.2,0.2,2.8,12.7,E,33,No,0,No
W0107,10.8,25.2,0,5.6,12.6,ENE,35,No,0,No
W0108,11.2,26.1,0,7.2,12.6,ENE,39,No,0,No
W0109,12.1,24.1,0,7.4,10.2,ENE,46,No,0,No
W0110,10.8,25.8,0,6.8,11.7,E,31,No,0,No
W0111,11.4,27.1,0,5.6,12.1,NE,33,No,0,No
W0112,12,28.9,0,7.2,8.2,ESE,39,No,1.8,Yes
W0113,16.3,24.8,1.8,7.8,3.8,S,50,Yes,6.6,Yes
W0114,12.7,28.6,6.6,3.2,8.6,W,50,Yes,0,No
W0115,12.7,25.1,0,7.8,12.4,NW,46,No,0,No
W0116,12,23.8,0,10.4,12.4,NW,44,No,0,No
W0117,11.5,25.9,0,5.2,10.2,ENE,44,No,0,No
W0118,13,28.2,0,5,11.6,NW,44,No,0,No
W0119,11.7,27.6,0,7.8,8.1,W,48,No,0,No
W0120,14.8,17.3,0,7.6,0.8,SSE,48,No,10.4,Yes
W0121,7.7,18.4,10.4,5.2,12,S,48,Yes,0,No
W0122,4.4,21.8,0,6.2,12.1,S,35,No,0,No
W0123,7.4,24.4,0,6.2,11.6,E,35,No,0,No
W0124,8.3,27.3,0,5.6,10.1,E,35,No,0,No
W0125,10.1,28.2,0,6,7.3,ESE,39,No,0,No
W0126,12,27.6,0,6,11,E,46,No,0,No
W0127,12.9,31.8,0,6,11.3,WSW,41,No,0,No
W0128,10.8,29.2,0,8.4,7.5,E,50,No,3,Yes
W0129,9.5,27.4,3,4.8,11.5,NNW,24,Yes,0,No
W0130,12.1,27.8,0,5,11.5,E,41,No,0,No
W0131,12.5,31.7,0,6.6,11.2,WNW,24,No,0,No
W0132,13.9,34.7,0,6.4,8.5,SSW,46,No,0.2,No
W0133,13.3,31.7,0.2,7.8,11,WNW,44,No,0,No
W0134,13.2,33.1,0,8.6,9.7,ENE,39,No,0,No
W0135,12.3,33.8,0,7.2,11.3,W,22,No,0,No
W0136,13.8,35.2,0,6.4,11.2,SE,48,No,0,No
W0137,11.3,32.3,0,9.4,11.4,NE,28,No,0,No
W0138,11.7,30.2,0,7.8,11.2,NE,33,No,0,No
W0139,12.5,29.9,0,5.8,10.7,NW,43,No,0,No
W0140,15.1,26.2,0,9,9.8,NE,31,No,0,No
W0141,11.5,29.3,0,5.2,8,NW,46,No,0,No
W0142,13,14.8,0,8.2,0,SE,30,No,0,No
W0143,11.6,19.6,0,2.8,1.6,E,33,No,0,No
W0144,12.8,24.9,0,2.4,6.2,ENE,30,No,0.6,No
W0145,15.5,22.4,0.6,4.8,1.9,NW,28,No,6.4,Yes
W0146,13.1,17.4,6.4,2.8,0,NNW,43,Yes,19.8,Yes
W0147,12.6,20.2,19.8,2.6,9.1,W,46,Yes,0,No
W0148,4.4,18.3,0,4.6,9.6,N,33,No,0,No
W0149,4.4,18.2,0,3.6,11,W,31,No,0,No
W0150,7.1,18.5,0,3.4,10,NW,57,No,0,No
W0151,4.2,18.9,0,6.4,10.8,WNW,50,No,0,No
W0152,9.6,18.8,0,6.4,10,WNW,57,No,0,No
W0153,3.5,21.8,0,6,10.3,NNW,22,No,0,No
W0154,5.3,23.3,0,3.6,5.6,NNW,83,No,2.6,Yes
W0155,7,14.3,2.6,9.6,9.7,WNW,63,Yes,0,No
W0156,0.4,18.9,0,4.8,9.6,N,22,No,0,No
W0157,3.2,21.4,0,3.2,10.6,E,26,No,0,No
W0158,5.9,21.8,0,2.8,9.3,E,35,No,0,No
W0159,8.1,20.5,0,3.8,7.8,ENE,31,No,0,No
W0160,6.9,18.9,0,4.2,4.1,ESE,39,No,0,No
W0161,5.6,19.5,0,2.8,6.8,SW,17,No,0,No
W0162,7.2,22.9,0,2.2,9.5,E,26,No,0,No
W0163,7.1,23.4,0,3.4,10.2,ESE,39,No,0,No
W0164,6.1,24.1,0,4.6,6.1,WNW,35,No,2,Yes
W0165,7.1,19.8,2,3.2,7.7,W,39,Yes,5.2,Yes
W0166,5.6,18,5.2,3.8,9.3,S,31,Yes,0,No
W0167,5.4,20.7,0,3.2,10.8,SSE,28,No,0,No
W0168,6.3,19.3,0,3.4,10.6,S,31,No,0,No
W0169,5.3,21,0,4.6,6.3,WNW,26,No,0,No
W0170,7.9,19.7,0,3.2,8.3,ESE,48,No,0,No
W0171,8.4,16.1,0,3,4.9,SE,35,No,0,No
W0172,8.1,18.7,0,4.4,7.1,ESE,33,No,0,No
W0173,2.4,20.6,0,2.8,10.1,E,30,No,0,No
W0174,5.6,18.9,0,3.8,8,SE,33,No,0,No
W0175,7.5,19,0,4,6.8,ENE,26,No,0,No
W0176,2.5,21.2,0,2,7.9,NE,28,No,0,No
W0177,5,20.9,0,2,8.9,WNW,22,No,0.2,No
W0178,3.8,21.7,0.2,2.8,6.5,NW,44,No,0,No
W0179,7.9,18.7,0,5.8,5.8,NW,59,No,7.2,Yes
W0180,4.3,11.3,7.2,4.4,5.6,W,57,Yes,0.2,No
W0181,-2.1,13.8,0.2,1.8,9.5,NNW,22,No,0,No
W0182,-1.8,14.8,0,1.4,7,N,28,No,0,No
W0183,3.8,13.8,0,2.8,0.8,WNW,31,No,0,No
W0184,2.1,17.3,0,1.6,9.2,W,43,No,0,No
W0185,0.5,17.1,0,4,9.4,NW,31,No,0,No
W0186,-0.9,16.7,0,2.4,9.3,NNW,30,No,0,No
W0187,0.4,19,0,3.4,8.3,NW,39,No,0,No
W0188,7.5,16.8,0,2.8,3,NW,41,No,0,No
W0189,8.3,17.6,0,3.4,9.4,WNW,43,No,0,No
W0190,-0.2,18.1,0,4.4,9.4,NW,24,No,0,No
W0191,0.1,21,0,2.2,9.2,NNW,17,No,0,No
W0192,1.5,20.9,0,2.4,9.3,NW,20,No,0,No
W0193,8.3,17.4,0,2,1.6,E,20,No,0,No
W0194,9.4,19.2,0,2.2,7.7,NA,24,No,0,No
W0195,1.3,19,0,2.2,9.4,NNW,30,No,0,No
W0196,2.2,18.6,0,2,9.2,NNW,31,No,0,No
W0197,-0.4,17.9,0,2.4,8.7,NW,33,No,1.8,Yes
W0198,4.5,16,1.8,3,4.3,NW,35,Yes,1,No
W0199,7.9,12.3,1,1.8,1.7,NW,52,No,0.8,No
W0200,4.3,14.1,0.8,1.6,8.8,NW,41,No,0,No
W0201,-2.7,18.1,0,2.2,9.3,W,52,No,0,No
W0202,0.3,17,0,2.2,5.6,WNW,31,No,0,No
W0203,3.8,17.4,0,2.6,7.3,E,24,No,0,No
W0204,2.4,14.7,0,2.6,9.2,ESE,20,No,0,No
W0205,1.2,14.8,0,2.4,6.7,SE,17,No,0,No
W0206,1.2,14.5,0,1.2,8.9,SE,17,No,0,No
W0207,-0.3,17.5,0,1.6,8.4,W,39,No,3.8,Yes
W0208,4.7,18.5,3.8,2,5.1,ESE,22,Yes,5.2,Yes
W0209,4.9,18.1,5.2,1.2,8.5,NNW,22,Yes,0,No
W0210,1.4,16.8,0,1.6,8.2,NW,20,No,0.2,No
W0211,2.2,17.5,0.2,1.2,8.5,NW,20,No,0,No
W0212,-0.1,18,0,2,8.6,NA,NA,No,0,No
W0213,-0.9,18.5,0,2.2,8.9,E,22,No,0,No
W0214,0.6,14,0,2.2,2.7,NE,17,No,0,No
W0215,4.6,15.7,0,1,0.6,NNE,15,No,0.8,No
W0216,9.8,14.4,0.8,0.6,0,ESE,20,No,3.8,Yes
W0217,10.6,15.1,3.8,0.2,2.6,SSE,41,Yes,0,No
W0218,7.8,15.1,0,2.2,2.7,S,31,No,0,No
W0219,4.4,16.7,0,1.6,9,S,22,No,0,No
W0220,-0.2,15.5,0,1.4,9,NE,28,No,0,No
W0221,4.3,14.5,0,2,3,E,30,No,0,No
W0222,7.4,16.3,0,1.2,NA,NNE,30,No,6.2,Yes
W0223,8.6,13.7,6.2,2.2,0,NW,31,Yes,4.8,Yes
W0224,10.2,15,4.8,0.2,0.5,NW,46,Yes,0.2,No
W0225,7.3,16.4,0.2,1.2,8.5,NW,43,No,0.6,No
W0226,8.7,13,0.6,3.2,7.1,WNW,54,No,0,No
W0227,1,11.8,0,2.2,7.2,S,48,No,0,No
W0228,2.1,14.7,0,2.6,8.2,S,43,No,0,No
W0229,6.4,16.9,0,2.6,5.9,SSW,26,No,0,No
W0230,5.4,15.5,0,1.6,5.8,NNE,20,No,0,No
W0231,0.4,15.5,0,1,4.7,N,13,No,0,No
W0232,4,15.9,0,0.6,2,NNW,17,No,4.8,Yes
W0233,8.4,11.7,4.8,0.6,0,W,26,Yes,0.6,No
W0234,0.4,13.9,0.6,0.8,7.7,WNW,41,No,0,No
W0235,4.2,14,0,1.4,7.6,NW,33,No,0,No
W0236,0.9,12.9,0,2,6.8,NW,24,No,0,No
W0237,0.8,13,0,1.4,4.1,WNW,41,No,0,No
W0238,4.3,12.6,0,2,9,NW,46,No,0,No
W0239,6.3,11.8,0,2.6,6.5,WNW,63,No,0,No
W0240,3.5,14.3,0,3.4,8.9,NNW,35,No,0,No
W0241,-1.5,14.8,0,2.2,8,NW,15,No,0,No
W0242,1.2,16,0,1.4,6.1,NNW,31,No,0,No
W0243,0.5,15.4,0,2.4,6.4,W,70,No,2,Yes
W0244,5.3,11.7,2,3.6,5.6,NW,78,Yes,0.2,No
W0245,6.6,13.1,0.2,2.8,8.2,WNW,61,No,0,No
W0246,-1.6,11.5,0,2.8,8.9,N,31,No,0,No
W0247,-3.1,12,0,1.8,3.9,ESE,35,No,0,No
W0248,-0.1,14.2,0,1.4,7,W,13,No,0,No
W0249,-0.6,14,0,1.2,7.1,NW,41,No,0.8,No
W0250,3,11.1,0.8,1.4,0.2,W,35,No,16.8,Yes
W0251,2.9,9.5,16.8,1.4,6.5,NW,35,Yes,0,No
W0252,-1.3,8.8,0,0.8,2.8,WNW,39,No,0,No
W0253,1.8,8.7,0,1.8,1.2,NW,65,No,1.6,Yes
W0254,2.9,8.4,1.6,1.4,7.7,NW,59,Yes,0.2,No
W0255,-2.6,11.1,0.2,1.4,6.5,N,20,No,0,No
W0256,0.5,11,0,1,0.9,NNW,31,No,0,No
W0257,2.7,16.5,0,0.6,8.9,NNW,41,No,0,No
W0258,-1.7,13.6,0,1.8,5.2,NNW,28,No,0.2,No
W0259,-0.9,12.8,0.2,2,1.9,N,17,No,0,No
W0260,-1.8,11.5,0,0.6,4.7,NNW,41,No,0,No
W0261,1.3,10.6,0,0.8,5.6,NW,46,No,1.2,Yes
W0262,2.4,11.6,1.2,2.2,8.1,NW,35,Yes,0.2,No
W0263,-1.1,11,0.2,1.8,0,WNW,41,No,19.2,Yes
W0264,2.3,11.6,19.2,1.8,7.5,WNW,54,Yes,0,No
W0265,-2.2,11.6,0,1.4,9.2,S,39,No,0,No
W0266,-3.5,11.2,0,1.6,7.7,ESE,26,No,0,No
W0267,-1,12.2,0,1.6,8.4,ESE,30,No,0,No
W0268,-2.1,12.9,0,1.2,8.1,S,31,No,0.2,No
W0269,-2,11.3,0.2,2.2,5.9,WNW,33,No,0,No
W0270,-2.3,9.7,0,1.4,1.9,SSE,28,No,1.4,Yes
W0271,-1.6,10.7,1.4,0.8,9.1,S,59,Yes,0,No
W0272,0.8,12.2,0,1.8,8.6,NA,NA,No,0,No
W0273,-2.8,12.2,0,2.6,8.7,NNW,31,No,0,No
W0274,-2.8,14.1,0,2.2,6.8,WNW,48,No,1,No
W0275,3,9.7,1,2.6,0.7,W,65,No,6.6,Yes
W0276,4.4,11.5,6.6,2.2,9.3,WNW,57,Yes,0,No
W0277,2.3,12.8,0,2.2,9.6,WNW,35,No,0,No
W0278,-2,12.3,0,2.4,5.8,W,31,No,0,No
W0279,-1.9,10.9,0,1.8,4.2,S,50,No,4,Yes
W0280,4.8,14.1,4,1.6,8.3,S,48,Yes,0,No
W0281,-0.6,11.1,0,3,5,NNW,41,No,1.2,Yes
W0282,3.1,12.5,1.2,1.4,7.2,N,43,Yes,0,No
W0283,-2.9,9.6,0,1.8,7.3,NW,43,No,0.4,No
W0284,-3.5,7.6,0.4,2.4,4.7,NW,50,No,0.4,No
W0285,-0.3,9.3,0.4,1.4,9.9,N,39,No,0,No
W0286,0.1,10.4,0,1.8,7.9,WNW,59,No,0,No
W0287,2.3,12.2,0,2.8,9.8,WNW,44,No,0,No
W0288,2.1,10.7,0,3.4,9.4,NW,59,No,0,No
W0289,4.6,14.7,0,4.4,8.4,WNW,52,No,0,No
W0290,3.7,14.2,0,3,10,NNW,46,No,0,No
W0291,-1.3,11.6,0,4,10.4,N,30,No,0,No
W0292,-3.4,12.5,0,3,6.8,SSE,48,No,0,No
W0293,-5.3,13.1,0,2.2,7.9,NW,33,No,0,No
W0294,0,14,0,2.4,4.7,WNW,39,No,0,No
W0295,2.4,14.1,0,3,1.8,NW,46,No,0,No
W0296,-0.6,12.2,0,2.6,7,S,59,No,0,No
W0297,2.3,11.6,0,5.4,9.5,S,54,No,0,No
W0298,-3.7,14.4,0,2.6,10.4,NNW,22,No,0,No
W0299,-0.9,14.2,0,2.6,7.8,WNW,31,No,0,No
W0300,-1.5,17.3,0,2.8,9,NW,48,No,0,No
W0301,-3.3,15.1,0,3,NA,SSW,30,No,0,No
W0302,-0.1,14.7,0,3.4,9.9,ENE,30,No,0,No
W0303,-0.2,16.2,0,3.4,5.9,E,28,No,0,No
W0304,0.5,16.3,0,1.8,4.1,NNW,39,No,4,Yes
W0305,6.1,17.2,4,2.2,2.4,NW,59,Yes,7.4,Yes
W0306,4.1,14.8,7.4,2.6,10.8,NW,46,Yes,0,No
W0307,0.1,16.7,0,3.8,10.2,WNW,28,No,0,No
W0308,3.2,12.1,0,2.8,3.9,ESE,41,No,0.2,No
W0309,5.4,11.3,0.2,2.2,0.6,ENE,35,No,0,No
W0310,5.8,12.4,0,1.6,0,SE,26,No,0,No
W0311,6.3,16.1,0,1.8,2.9,S,35,No,0,No
W0312,-0.9,16.7,0,2.8,8.6,NW,35,No,1,No
W0313,0.2,15.5,1,2.4,9.4,SE,31,No,0,No
W0314,-3.7,14.7,0,3.4,10.9,SSE,43,No,0,No
W0315,-2.7,15.2,0,4,9.7,N,30,No,0,No
W0316,-2.5,16.6,0,3,9.9,NW,31,No,0,No
W0317,-0.5,21.6,0,5,9.9,NW,48,No,0,No
W0318,9,25.5,0,5.6,10.2,NW,50,No,9.8,Yes
W0319,13.1,19.4,9.8,8.8,6,NNW,67,Yes,1.6,Yes
W0320,8.7,19.7,1.6,5.2,8,NW,98,Yes,3.4,Yes
W0321,3.9,13.2,3.4,6.6,11,WNW,65,Yes,0,No
W0322,0.7,14.1,0,5.6,9,ENE,20,No,0,No
W0323,1.1,18,0,1.6,8.6,NNW,39,No,0,No
W0324,5.1,23.3,0,3.6,10.3,NW,44,No,0,No
W0325,7.5,23.3,0,6.8,10.9,WNW,65,No,0,No
W0326,4.7,19.5,0,10,11,NNW,46,No,0,No
W0327,3.2,21.9,0,6.8,5.2,NW,80,No,17.4,Yes
W0328,7.8,16.2,17.4,6.4,7.9,NW,50,Yes,0,No
W0329,2.4,17.3,0,2.2,11.3,E,31,No,0,No
W0330,3.2,18.7,0,2.6,11.1,N,31,No,0,No
W0331,2.5,20.9,0,3.6,10.6,NNW,44,No,0,No
W0332,6.5,25.7,0,4.8,10.5,NNW,50,No,0,No
W0333,14.4,24.3,0,9.4,11.1,WNW,52,No,0,No
W0334,4.9,18.9,0,9.6,9.4,NW,44,No,0,No
W0335,2.3,16.8,0,4.8,11.4,N,41,No,0,No
W0336,1.4,20.6,0,5.4,11.1,N,46,No,0,No
W0337,5.6,27.6,0,5.2,11,NW,46,No,0,No
W0338,16.8,28.9,0,10,10.8,NNW,70,No,7.6,Yes
W0339,14.4,20.7,7.6,9.4,4.9,NNW,33,Yes,3,Yes
W0340,10.3,21.3,3,4.2,6.7,NNW,43,Yes,0,No
W0341,11.2,18,0,4.8,8.4,W,65,No,8.2,Yes
W0342,0.3,16,8.2,5.4,11.8,NW,57,Yes,0,No
W0343,0.5,17.9,0,5.8,11.5,N,44,No,0,No
W0344,0.5,20,0,6.2,11.5,NNW,31,No,0,No
W0345,4.6,22,0,4.4,11,N,41,No,0,No
W0346,8.2,22.4,0,5.4,11.2,NW,31,No,0,No
W0347,4.5,23.9,0,4.8,11.7,NW,30,No,0,No
W0348,6.7,26.1,0,6.2,7.5,SSW,70,No,13.2,Yes
W0349,11.9,21.1,13.2,6.6,NA,NW,41,Yes,0.6,No
W0350,9.2,19.6,0.6,3.4,10.4,ENE,31,No,0,No
W0351,4.4,21,0,4.2,12.2,NW,28,No,0,No
W0352,5,24.1,0,6.2,12,NNW,52,No,0,No
W0353,6.7,24.7,0,5.4,8.6,NW,43,No,0,No
W0354,8.3,28.5,0,5.8,9.8,NW,46,No,0.2,No
W0355,11.3,27.4,0.2,7.6,12.1,NW,52,No,0,No
W0356,9,20.6,0,9,6.2,ENE,39,No,0.8,No
W0357,3.4,15,0.8,4.8,11.7,S,70,No,0,No
W0358,3.2,18,0,7.4,12.2,SSE,48,No,0,No
W0359,0.9,20.7,0,5.4,8.4,NNW,39,No,0,No
W0360,3.3,25.5,0,5.2,10.8,N,43,No,0,No
W0361,7.9,26.1,0,6.8,3.5,NNW,43,No,0,No
W0362,9,30.7,0,7.6,12.1,NNW,76,No,0,No
W0363,7.1,28.4,0,11.6,12.7,N,48,No,0,No
W0364,12.5,19.9,0,8.4,5.3,ESE,43,No,0,No
W0365,12.5,26.9,0,5,7.1,NW,46,No,0,No
W0366,12.3,30.2,0,6,12.6,NW,78,No,0,No
