Id,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm
W0052,N,WNW,41,30,92,62,996.5,996.8,8,3,20.6,19.6
W0053,N,N,9,20,59,49,1009.5,1009.1,1,7,14.9,18.8
W0054,NNW,WNW,7,13,69,43,1012.8,1009.7,6,4,15,22.5
W0055,SE,NE,11,11,67,52,1020.4,1019.1,8,3,12.4,21
W0056,W,NNW,6,19,63,35,1023.2,1018,1,1,15.3,23.9
W0057,N,NNW,7,48,68,64,1017.3,1014.3,7,7,19.8,19
W0058,NNW,NW,6,13,73,44,1016.8,1013.4,1,5,18.3,27.4
W0059,NW,N,6,7,65,30,1017.1,1014.2,0,2,21.5,30.3
W0060,SSW,ESE,6,22,55,18,1017.4,1015,1,1,23.4,34.3
W0061,SSE,NE,7,9,44,20,1019.2,1015.6,0,1,21.9,32.2
W0062,ESE,W,2,11,50,20,1015.8,1011.6,7,6,21.9,31.8
W0063,ESE,WSW,2,9,43,14,1012.6,1008.7,0,1,23,33.6
W0064,ESE,ESE,20,24,69,55,1016.8,1016.3,8,7,19.2,22.3
W0065,ESE,ESE,24,26,56,45,1016.2,1013,6,7,20.3,23.9
W0066,SSE,E,7,15,69,40,1011.8,1007.4,7,2,18.6,26.8
W0067,W,NNW,6,19,77,34,1006.6,1003.3,1,1,18.9,31.9
W0068,E,NW,11,11,60,36,1012.3,1009.5,1,1,20.8,31.3
W0069,E,N,7,9,77,44,1015.7,1013.4,7,1,18.1,28
W0070,E,ENE,13,11,74,45,1018.5,1015.9,8,1,19.3,27.9
W0071,WNW,NW,6,11,64,25,1017.8,1013.3,1,1,21.3,32.2
W0072,NNW,NW,6,19,56,24,1011.8,1006.5,0,1,24.7,34.5
W0073,E,WNW,4,17,61,28,1007.6,1003,7,2,23.6,34
W0074,NNW,W,6,24,65,35,1004,1001.8,2,3,23,31.8
W0075,E,ENE,13,19,70,57,1012.3,1012.3,8,6,17,21.6
W0076,E,NW,7,15,70,26,1014.2,1009,7,1,18,31.7
W0077,N,NNE,15,20,58,62,1008.5,1006.1,6,7,24.5,23.5
W0078,ESE,ESE,20,28,62,42,1016.8,1015,1,1,17.1,23.9
W0079,ESE,ESE,17,19,63,55,1017.5,1015.8,8,8,17.8,19.4
W0080,SSE,NNE,9,13,92,88,1008.7,1006,8,8,18,18.6
W0081,NW,WNW,19,28,80,71,1004.9,1004,7,8,19.4,21.9
W0082,SSE,ESE,17,22,73,58,1011.4,1012.1,8,7,17.4,18.6
W0083,SE,S,11,7,55,46,1018.7,1016.8,1,2,14.7,22.2
W0084,SE,E,7,7,60,38,1021.6,1019.2,1,4,16.2,22.7
W0085,SE,NE,6,11,64,29,1021.3,1018.1,3,6,17,26.3
W0086,E,NE,9,17,67,32,1020.1,1016.9,7,7,17.6,24.6
W0087,NW,SSW,4,7,70,28,1016.5,1012.4,1,5,18.3,28.3
W0088,N,WNW,4,26,71,28,1013.1,1009.5,1,4,19.7,30.7
W0089,NNE,NW,4,24,60,18,1013.9,1012,0,1,22.4,32.1
W0090,S,W,6,11,72,22,1017.4,1014.6,1,1,19.8,32.3
W0091,N,W,6,13,68,29,1018,1013.7,1,6,22.2,33.1
W0092,N,NNW,13,13,66,49,1014.6,1012.8,7,8,21.4,26.3
W0093,SE,ESE,11,11,73,49,1018.9,1017.1,8,7,16.5,22.9
W0094,SSE,NNE,7,11,71,44,1018.2,1014.5,7,2,19.1,27
W0095,SE,ESE,9,17,67,38,1016.7,1012.8,6,7,21.7,29.1
W0096,SSE,ENE,7,13,92,76,1014.4,1011.5,8,8,18.5,22.1
W0097,S,SSE,7,11,88,71,1010,1007.8,8,8,18.4,21.5
W0098,NW,WNW,6,24,77,41,1002.1,997.5,4,7,18.7,26.5
W0099,N,NNW,11,20,76,76,999.4,998.9,7,7,17.9,20.3
W0100,ESE,ESE,7,20,75,58,1007.6,1005,7,7,13.6,18.7
W0101,S,S,15,17,65,51,1007.7,1006.8,6,6,13.8,18.7
W0102,SSE,W,17,13,66,37,1013.6,1011.4,1,7,14,21.4
W0103,SE,NE,7,13,74,34,1016.1,1011.7,1,5,14.6,24.2
W0104,NNW,WNW,9,17,95,60,1010.8,1006.8,8,5,15.8,22.6
W0105,SSE,SSE,13,15,81,73,1010,1011,7,8,16.3,16.8
W0106,S,SE,11,9,63,37,1017.5,1015.1,1,1,13.7,22
W0107,SE,E,7,7,69,32,1020.2,1016.7,1,1,15,24.3
W0108,SE,E,7,19,71,40,1022.9,1020,1,1,15.3,24.7
W0109,ESE,NNE,9,13,64,46,1025.2,1021.4,7,1,15.4,22.5
W0110,S,NNE,7,11,72,42,1021.3,1017.4,5,4,17.2,24.1
W0111,ESE,SE,6,15,69,38,1017.6,1012.8,1,2,16.9,26.1
W0112,SSE,WNW,2,9,78,31,1012.2,1009.1,2,7,17.4,28.6
W0113,NNW,N,4,7,88,56,1011.8,1008.4,7,7,17.5,24
W0114,NA,W,NA,28,78,42,1008.3,1002.3,5,5,16.5,27.4
W0115,WNW,WNW,20,26,57,32,1007.4,1005.4,1,1,15.7,24.5
W0116,NW,WNW,15,30,54,34,1007.9,1007.2,0,1,15.1,22.9
W0117,ENE,WSW,9,7,70,35,1016.4,1014.3,6,2,15.8,24.3
W0118,WSW,NW,4,17,74,27,1017.6,1014.4,3,6,17.4,27
W0119,NA,W,NA,30,74,25,1013.6,1009.1,2,6,17.6,26.8
W0120,S,SE,13,13,74,78,1010,1009.9,7,7,15.7,15.3
W0121,S,S,24,17,58,34,1015.5,1014.5,5,1,10.6,16.8
W0122,SSE,SSE,15,15,60,31,1020.8,1019.3,1,1,11.7,20
W0123,ESE,WNW,7,11,65,37,1026.3,1023.2,0,2,12.2,22.1
W0124,ESE,WNW,6,9,78,28,1025.4,1020.4,1,1,13.8,25.5
W0125,SSE,WNW,6,7,72,28,1021.1,1018.2,1,7,15.6,27
W0126,SSE,WSW,7,6,69,35,1025.5,1022.2,1,1,15.7,26.2
W0127,NNW,NNE,6,9,76,24,1023.9,1019.3,2,3,17.4,30
W0128,NA,ENE,NA,9,56,34,1021.6,1017.7,0,7,17.5,27.7
W0129,SSE,NNW,6,9,79,39,1024.7,1020.7,1,7,14,24.9
W0130,SE,NNE,7,11,66,33,1024.8,1023.1,0,1,17.8,27
W0131,ENE,W,6,9,74,28,1024.9,1020.4,1,1,17.2,30.1
W0132,SE,ENE,11,7,50,18,1022.8,1019.3,0,3,20.2,32.7
W0133,ESE,WSW,6,28,80,23,1021.6,1017.6,2,5,17.5,30.7
W0134,SE,NNW,7,7,91,18,1020.9,1017.7,7,1,16.1,31.7
W0135,SE,W,9,13,57,15,1022.6,1019.1,0,1,17.9,32.7
W0136,SE,ESE,7,4,47,15,1022.5,1019.3,5,2,21.4,34.1
W0137,ENE,WNW,4,6,44,17,1024.3,1020.7,5,2,18.2,30.5
W0138,ESE,NNW,9,13,73,22,1024.3,1020.6,1,0,17.7,28.8
W0139,NA,WNW,0,19,76,30,1022.7,1018.8,0,1,16.8,29.2
W0140,SE,NNE,4,15,59,48,1022.1,1018.7,1,4,19.7,24.5
W0141,NA,WSW,0,26,76,35,1013.8,1009.4,7,7,17.1,27.6
W0142,ESE,ESE,9,17,77,62,1017.4,1019.3,7,8,13.3,13.9
W0143,SE,ESE,6,17,71,64,1023.6,1021.8,7,8,14,17.9
W0144,NNW,SW,6,7,76,44,1023.2,1019.3,7,6,15.5,24.2
W0145,SSE,WNW,6,19,89,68,1018.7,1015.4,8,7,17.1,21.1
W0146,N,N,11,20,94,93,1010.2,1006.5,8,8,16.4,16.6
W0147,NNW,W,17,20,76,50,1007.9,1008.4,5,4,15.1,17.4
W0148,SE,N,7,17,80,36,1014.8,1012.6,1,2,8.4,17.4
W0149,SE,WNW,7,19,78,35,1017.4,1015,1,3,9.2,17.2
W0150,N,NW,9,22,90,30,1015.1,1011.3,6,6,8.8,18.2
W0151,WSW,WNW,6,31,60,34,1011.2,1009.3,3,2,11.2,18.1
W0152,NW,W,19,26,54,42,1012.7,1013,2,5,13.1,16.5
W0153,ESE,WNW,7,11,72,34,1023.9,1021.2,0,1,8.7,21.2
W0154,SSW,NW,2,37,90,26,1018,1010.5,1,8,9.5,22.5
W0155,NW,W,26,33,68,40,1010.3,1012.7,1,3,9.1,13.7
W0156,NW,WSW,6,7,77,33,1021.2,1019.1,0,1,5.2,17.6
W0157,SE,NNW,7,7,76,27,1025.2,1022.3,0,1,8.2,20.5
W0158,SSW,NNW,7,11,70,35,1028,1024.1,1,5,12.9,20.8
W0159,ESE,ENE,11,11,66,48,1027.8,1024,1,5,14.9,19.5
W0160,SSE,SE,15,9,68,45,1028.2,1025.4,5,4,13.8,17.8
W0161,S,WNW,9,6,69,49,1025.7,1021.8,6,4,14.3,18.6
W0162,NNW,N,4,6,82,28,1023.1,1019.2,1,1,14,22.2
W0163,SE,WSW,2,7,72,29,1021,1016.9,0,1,12.7,22.4
W0164,SSW,WNW,6,11,75,32,1019.2,1015.8,7,3,11.5,23.7
W0165,SSE,NW,13,15,96,56,1018.4,1013.8,5,2,10.7,19.1
W0166,SSE,SSE,9,20,70,40,1020.8,1019.6,1,1,12.4,17.9
W0167,SSE,S,7,9,66,36,1027.2,1023.9,1,2,12.3,20.4
W0168,S,SE,9,13,65,39,1027.9,1024.4,1,1,12.6,18.8
W0169,SSW,NW,7,7,77,44,1027.2,1023.3,7,2,12,20.4
W0170,SSE,ENE,17,11,58,43,1027.3,1024.1,3,6,14,19.1
W0171,SE,ESE,13,22,69,51,1029.5,1027.4,6,7,13.6,15.2
W0172,SSE,ESE,11,30,66,65,1028.2,1024.2,4,7,13.5,15.6
W0173,SE,SSE,9,7,77,34,1024.8,1021,1,2,10.6,19.8
W0174,SSE,E,13,22,79,49,1025.8,1023.5,7,6,12.5,17.7
W0175,NA,ESE,0,7,74,43,1025.5,1022.2,6,5,12.6,18.1
W0176,ESE,NE,7,9,82,55,1023.7,1019.8,4,4,9.2,17.6
W0177,NA,NW,0,7,84,42,1019.9,1014.3,7,6,10.1,20.6
W0178,ESE,WNW,2,20,99,34,1011.9,1006.7,7,7,7.9,20.2
W0179,NNW,NW,26,31,68,51,1003.2,997.7,6,6,14.4,16.6
W0180,WNW,WNW,26,22,75,60,1006.3,1008.1,3,6,7.1,8.8
W0181,NA,NNW,0,9,69,40,1020.6,1019.6,0,1,6.3,13.2
W0182,E,N,2,19,80,40,1024.2,1020.5,1,7,5.3,13.9
W0183,W,NNW,6,26,67,54,1020.6,1018.5,7,7,10.5,12.4
W0184,SSW,WNW,6,28,81,38,1020,1017.3,1,2,8.7,15.9
W0185,ESE,W,6,13,74,42,1020.8,1017.4,1,1,7.4,16.2
W0186,SW,NNW,2,15,76,42,1022.7,1018.5,5,2,6.2,15.4
W0187,NE,WNW,2,19,76,41,1019.8,1015.8,6,5,7.7,18.5
W0188,W,NW,7,26,70,53,1018,1013.8,7,7,12.5,15.4
W0189,NW,WNW,17,30,73,43,1015.8,1013.5,1,1,12.4,16.5
W0190,NA,NW,0,9,80,44,1021.4,1018.9,1,1,6.7,16.9
W0191,WNW,N,2,9,78,36,1023.2,1020.3,0,1,7.6,20.7
W0192,NW,NNW,2,9,80,41,1023.2,1020,1,1,8.4,20.9
W0193,WSW,NE,6,11,80,52,1024.4,1021.5,7,7,13.5,17.2
W0194,E,NNW,4,15,73,47,1024.2,1020.3,7,1,12.1,18.8
W0195,SE,NW,7,15,87,34,1024.7,1021.4,1,2,7.9,18.6
W0196,NA,NNW,NA,20,84,44,1024.4,1021,1,3,8.5,17.8
W0197,NNE,NW,2,20,80,40,1023.5,1018.7,1,2,6.8,17.7
W0198,W,NW,9,15,88,69,1017.7,1013.7,7,7,10,15.2
W0199,NNW,NW,30,24,68,78,1006.3,1005.9,7,7,11.3,7.3
W0200,NNW,WNW,13,26,71,53,1008.4,1008.3,6,6,7.9,13.3
W0201,NA,WNW,0,24,85,36,1017.8,1014.3,1,1,3.5,16.7
W0202,S,WNW,6,24,99,52,1021.9,1018.6,8,1,3.8,16.2
W0203,ESE,W,2,7,81,47,1024.5,1022.9,6,2,8,16.6
W0204,SSE,E,7,6,74,43,1030.4,1026,1,1,5.9,13.8
W0205,SE,SSW,11,6,81,49,1028.5,1024.8,7,1,5.3,14.5
W0206,SE,SSW,6,6,74,43,1026.7,1023.5,0,1,6.5,13.9
W0207,SE,NNW,6,15,81,48,1025.5,1021.8,1,5,6.2,17.2
W0208,NNW,W,6,6,99,50,1026.6,1023.1,7,4,7,17.9
W0209,NA,NW,0,13,93,55,1025.7,1022.3,1,1,8.9,17.7
W0210,NA,NW,0,6,91,50,1027.2,1024.7,1,4,6.2,16.3
W0211,SSE,WNW,7,7,92,45,1032.1,1029.6,2,1,5.5,17.3
W0212,N,NNW,2,15,83,46,1033.2,1028.7,1,1,5.6,17.4
W0213,NA,N,0,7,84,38,1030.2,1027.4,2,3,4.7,18.2
W0214,NA,ENE,NA,7,99,67,1032.3,1028.9,7,7,4.6,13.9
W0215,SSE,NNE,6,6,85,67,1030.3,1027.1,7,7,9.9,15.5
W0216,S,ESE,9,11,99,86,1028.5,1027.2,8,8,12.1,13.6
W0217,SE,SE,9,20,78,65,1028.2,1025.7,8,7,11.5,13.3
W0218,SSE,S,6,20,84,65,1025.9,1023.4,6,7,10.3,14.8
W0219,SE,NNE,11,4,74,42,1025.2,1022.1,1,1,9.6,16.2
W0220,N,ESE,4,11,86,42,1027.6,1027,1,1,4.9,14.5
W0221,SSE,ENE,6,13,76,70,1034.3,1031.7,7,7,7.9,13
W0222,SSE,NE,6,19,75,65,1031.4,1027.9,7,7,12.1,14.5
W0223,E,NA,2,0,97,94,1027.8,1024.3,8,8,10.3,11.6
W0224,NNW,NW,22,17,90,65,1022.9,1022.1,7,7,12.9,13.7
W0225,N,WNW,15,24,86,48,1023.7,1019.7,1,1,11.2,14.7
W0226,W,WNW,19,28,82,58,1013.7,1014.1,4,2,8.8,11.1
W0227,NW,S,7,24,73,49,1025.7,1025.6,4,1,6.5,11
W0228,S,SSW,24,26,72,57,1029,1026.3,1,2,9,13.8
W0229,SSW,ESE,17,9,78,51,1027.8,1024.8,7,2,9.5,16
W0230,SSW,NNE,7,7,80,58,1028.6,1025.5,7,1,9.4,14.9
W0231,N,NNW,6,9,97,70,1026.7,1023.5,5,7,4,15
W0232,SE,SSE,6,7,95,63,1022.5,1019.7,8,7,8.4,14.8
W0233,WNW,WNW,6,7,91,86,1021.2,1019.2,8,7,9.7,11.3
W0234,E,WNW,6,19,99,59,1023,1021,3,6,4.2,12.1
W0235,NNW,SE,9,9,74,44,1026.4,1025.7,5,4,8.8,12.5
W0236,W,N,7,15,92,53,1025.1,1022.1,7,7,5.5,12.3
W0237,S,NW,2,28,95,69,1028.2,1024.2,8,6,4.3,11.7
W0238,NA,WNW,0,28,75,54,1026.3,1021.9,3,1,7.8,11.3
W0239,NNW,WNW,20,28,81,48,1018.7,1020.4,6,1,7,11.5
W0240,N,NNW,7,24,71,51,1027.8,1025,1,1,6.7,12.7
W0241,N,NW,6,9,90,41,1029.1,1026,4,3,2.1,14.5
W0242,S,N,6,22,84,38,1024.6,1020.9,7,6,6.5,14.6
W0243,NW,NNW,22,28,53,68,1017.2,1010.2,1,7,9.7,12.9
W0244,NW,W,33,33,73,56,1012.1,1012.3,3,1,6.9,11.1
W0245,NNW,WNW,31,30,62,53,1013.5,1014,5,1,10.6,12.3
W0246,ESE,NNW,7,20,82,53,1024.3,1021.9,1,1,3,11.1
W0247,SSW,NE,4,13,80,52,1030.5,1030,1,6,5.9,10.2
W0248,NA,WNW,NA,2,81,55,1032.9,1028.9,1,2,4.7,12.6
W0249,WNW,NNW,2,22,86,59,1030,1026.3,5,5,3.7,13.6
W0250,NA,N,0,13,99,96,1024.4,1021.1,7,8,6.3,8.6
W0251,NA,NW,0,15,93,72,1021.6,1019.6,6,6,5.5,7.4
W0252,NW,NW,9,15,95,68,1020,1016.8,7,6,1.8,8
W0253,NW,NW,31,35,83,85,1014.6,1010.5,7,7,6,6.9
W0254,NW,WNW,20,31,76,66,1016.7,1018.2,7,3,5.5,7.1
W0255,E,NNW,2,7,87,54,1027.1,1022.7,1,7,0.8,9.9
W0256,NA,NW,0,15,92,69,1024.4,1021.9,7,7,2.8,10.7
W0257,SW,NNW,7,22,93,51,1021.8,1019,5,1,6.7,15.9
W0258,NA,NNW,NA,17,83,46,1023,1020.1,1,7,3.9,13.3
W0259,SE,NNW,6,9,99,62,1024.1,1020.8,7,7,2.7,12.1
W0260,NA,NNW,0,24,99,55,1019.7,1013.9,7,3,1.3,11
W0261,NNW,WNW,24,33,75,73,1010.8,1009.4,3,5,7.7,8.2
W0262,NNW,NW,15,22,71,48,1016.7,1014.9,1,3,6,10.7
W0263,NA,NE,0,6,92,87,1014.4,1009,7,8,2.4,8.7
W0264,WNW,WNW,26,31,78,56,1006.9,1010.3,7,3,7.6,11.2
W0265,E,SSW,2,28,68,33,1025.7,1025.8,1,1,3.4,11
W0266,N,ESE,6,11,76,48,1033.5,1031.1,1,5,3.6,10.1
W0267,SE,E,7,13,82,51,1032.2,1027.4,3,5,3.7,10.8
W0268,SE,SE,7,13,92,25,1025.7,1020.9,2,1,1.4,12.3
W0269,SE,WNW,2,19,88,50,1020,1015.3,7,7,1.2,10.9
W0270,SSE,WSW,6,13,92,66,1013.8,1010,7,7,1,7.8
W0271,SSW,S,28,37,74,56,1014.1,1014.9,2,4,5.6,9.6
W0272,S,S,19,22,69,49,1020.9,1016.8,3,1,6.5,11.2
W0273,NA,NNW,0,15,84,48,1018.3,1014.6,1,1,2.7,11.5
W0274,NA,WNW,0,26,81,38,1017.3,1012.9,1,7,3,12.8
W0275,NW,NW,19,28,64,82,1005.1,1001.3,8,7,9.6,8.6
W0276,NNW,WNW,28,31,67,56,1013.9,1014.9,1,1,6.9,10.5
W0277,ENE,WNW,4,24,70,48,1021.2,1018.1,1,1,7.8,11.6
W0278,ESE,W,4,19,81,60,1020.9,1018.3,1,7,2.6,9.1
W0279,NA,SSW,0,26,78,72,1020.8,1019.2,3,8,5.5,7.2
W0280,S,SSE,30,22,67,48,1018.2,1017.6,5,1,8.9,13.6
W0281,SE,N,7,26,89,78,1018.4,1015.9,7,7,3.8,5.7
W0282,WNW,N,6,30,69,62,1019.8,1019.1,6,2,7.6,11.3
W0283,N,NW,6,24,76,70,1022.4,1019,1,6,5.6,8.1
W0284,NW,NW,30,24,92,68,1014.8,1012.6,8,6,3.3,5.1
W0285,NNW,N,9,30,72,60,1017.4,1016.6,1,1,4.7,8.3
W0286,NW,WNW,22,24,69,63,1021.3,1020.1,1,6,7,8.6
W0287,WNW,NW,20,30,58,41,1024.2,1022.4,1,1,6.5,10.4
W0288,NNW,WNW,28,39,59,45,1022.2,1018.2,1,1,6.2,9.5
W0289,WNW,NW,28,33,54,51,1014.7,1012.4,1,3,9.2,12
W0290,WNW,WSW,24,28,52,27,1012.7,1011.8,1,1,8.7,13.5
W0291,ESE,NNW,9,17,59,35,1023.3,1022,0,1,4.5,10.8
W0292,NNW,WNW,7,30,89,30,1025.2,1021.8,6,7,1.4,11.2
W0293,N,NNW,4,20,94,47,1029.6,1025.6,6,6,0.1,12.2
W0294,NNW,WNW,13,24,60,36,1027.3,1024.4,7,7,7.9,12.4
W0295,NNW,NW,15,30,50,27,1021.4,1017.8,8,8,8.6,13.2
W0296,S,S,15,26,66,44,1018.5,1016.8,8,5,6.9,10.7
W0297,SSW,ESE,30,17,49,38,1025.9,1025.5,1,1,6.7,11.1
W0298,N,NNW,2,11,64,28,1031,1028,0,0,5.2,14
W0299,SSW,N,7,19,82,34,1030.2,1024.4,7,6,5.3,12.8
W0300,NA,WNW,0,26,77,23,1023.9,1020.3,5,7,4.8,15.8
W0301,SSE,SE,9,13,57,23,1027.7,1025.5,1,1,7.9,14.4
W0302,SE,NE,6,15,60,43,1029.9,1025.9,1,5,7.2,12.3
W0303,NA,ENE,0,20,74,45,1027.6,1022.9,7,6,7.3,14.6
W0304,SSW,WSW,4,6,81,45,1023.7,1017.5,7,8,6.2,15.4
W0305,NW,WNW,24,15,89,85,1011.2,1010.4,7,7,13.5,12.6
W0306,NW,W,20,28,60,34,1023.2,1021.7,1,1,8.8,14.3
W0307,ESE,NNE,2,13,69,44,1027,1024.8,1,4,9,14.9
W0308,SE,SE,17,20,69,51,1033.6,1033.2,7,5,9.3,11.1
W0309,SE,ESE,11,17,65,61,1035.7,1031.9,7,7,8.3,10.2
W0310,SSE,ESE,13,13,79,73,1027.3,1023.5,8,8,8.7,10.8
W0311,S,S,19,24,63,33,1019.7,1016.2,7,7,10,15.7
W0312,WNW,NW,7,22,84,33,1018.1,1013.9,7,7,6.4,15.5
W0313,NA,WNW,0,11,79,37,1020.6,1018.2,1,1,7.2,15.3
W0314,SE,N,9,22,53,25,1025.8,1020.9,0,0,5.5,13.4
W0315,SW,WNW,6,20,62,35,1022.8,1017.9,1,2,6.3,14.9
W0316,NE,N,4,20,68,20,1018.8,1013.9,1,1,6,16.3
W0317,NNE,NW,9,26,44,27,1014.6,1010.9,7,5,11.9,21.5
W0318,N,NW,20,26,47,31,1015.3,1011.4,3,1,17.5,25.1
W0319,N,NW,39,30,71,43,1007.3,1006,7,1,16.7,18.2
W0320,NW,NNW,31,52,63,33,1009.1,1001.5,3,6,15.6,18.5
W0321,WNW,WNW,26,31,53,33,1017,1017.6,3,1,7.1,12.2
W0322,SSW,NNW,6,7,69,43,1026.7,1022.1,7,1,7.4,13.7
W0323,NNW,NNW,2,28,82,36,1021,1015.6,4,1,7,17.8
W0324,N,NW,9,28,54,30,1016.4,1011.7,1,1,16.4,22.4
W0325,N,NW,15,41,46,15,1012.5,1010.9,1,0,18.3,21.3
W0326,NNE,NNW,13,33,42,25,1018.7,1015.1,1,0,14.5,18.3
W0327,SSE,NW,2,20,51,50,1012.1,1006.5,1,8,15.9,21
W0328,NW,N,15,22,73,44,1016.7,1017.8,7,1,8,14.3
W0329,SSE,SW,4,6,67,33,1030.5,1027.7,1,1,10.7,16.5
W0330,E,NNW,4,13,70,32,1032.2,1026.9,1,1,11,18.1
W0331,NW,WNW,20,26,48,35,1025.4,1020.6,2,6,15.4,20
W0332,NNW,NW,2,24,62,25,1022.8,1016.4,5,1,15.9,24.7
W0333,NW,NW,31,30,36,25,1010.5,1009.9,1,1,20.4,23
W0334,S,NW,6,22,41,32,1015.2,1013.9,2,7,14.9,16
W0335,NNW,NNW,6,28,52,34,1019.8,1017,2,1,9.8,16.3
W0336,SW,N,6,30,56,16,1020.8,1015.4,5,1,11.3,19.5
W0337,NNW,NW,15,28,44,21,1017.7,1014.1,0,0,19,26.7
W0338,NW,NW,31,41,44,22,1016.3,1011.8,1,1,22.5,28.4
W0339,NNW,NNW,20,19,94,65,1015.5,1013.2,8,4,14.5,19.3
W0340,ENE,N,7,19,79,46,1018.1,1013.6,8,1,11.7,19.8
W0341,N,W,24,33,65,40,1009.5,1005.3,5,4,12.8,16.2
W0342,NNW,N,11,28,68,45,1016.8,1013.3,1,1,6.9,14.6
W0343,NNE,NNW,2,26,72,33,1019.1,1017.5,0,1,7.2,16.6
W0344,S,N,2,9,69,22,1026.2,1024.2,0,1,8.1,18.8
W0345,NNW,N,6,19,82,25,1028.8,1024.9,1,2,10,21.4
W0346,SSW,NW,2,17,70,30,1027.8,1023.8,1,3,13.6,20.6
W0347,ENE,NNW,4,11,67,27,1025.8,1021.5,0,4,12.6,22.3
